Time,Light
14:43:52,269.58
14:43:53,277.92
14:43:54,278.75
14:43:56,281.67
14:43:57,284.58
14:43:58,282.08
14:43:59,276.67
14:44:00,281.25
14:44:02,290.0
14:44:03,371.67
14:44:04,27.5
14:44:05,2.08
14:44:07,2.5
14:44:09,2.92
14:44:10,2.92
14:44:11,289.58
14:44:13,0.0
14:44:14,0.0
14:44:16,239.17
14:44:17,235.83
14:44:18,226.67
14:44:19,245.0
14:44:20,5.83
14:44:21,0.0
14:44:23,0.0
14:44:25,178.33
14:44:26,174.58
14:44:27,262.08
14:44:28,237.5
14:44:29,182.08
14:44:31,2462.5
